                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.40763,                0.26624,                0.88412,                0.98187,                      1,                0.99345,                  0.932,                0.40559,                0.21241,                0.85961,               0.004852,               0.004852,               0.004852
                     54,                0.42315,                0.27709,                0.88917,                0.98896,                0.99822,                0.99316,                0.94006,                0.38362,                0.21009,                0.84975,               0.004753,               0.004753,               0.004753
                     55,                0.41439,                0.27321,                 0.8914,                0.98814,                0.99582,                0.99428,                0.94595,                0.37628,                0.20162,                0.83589,               0.004654,               0.004654,               0.004654
                     56,                0.40791,                0.26948,                0.88439,                 0.9876,                0.99861,                0.99377,                0.94179,                0.37009,                0.19609,                0.84194,               0.004555,               0.004555,               0.004555
                     57,                0.39921,                0.26356,                0.88166,                0.98895,                0.99677,                0.99328,                0.94281,                0.36993,                0.19595,                0.84253,               0.004456,               0.004456,               0.004456
                     58,                0.39728,                 0.2637,                0.88287,                 0.9865,                0.99721,                0.99297,                0.94036,                0.37404,                0.19581,                0.84307,               0.004357,               0.004357,               0.004357
                     59,                0.39769,                 0.2604,                0.88038,                0.98756,                0.99485,                0.99347,                0.94424,                0.36911,                0.20006,                0.83822,               0.004258,               0.004258,               0.004258
                     60,                0.39546,                0.25858,                 0.8766,                0.99024,                0.99443,                0.99309,                   0.94,                0.37049,                0.20017,                0.83701,               0.004159,               0.004159,               0.004159
                     61,                0.38911,                0.25368,                0.87561,                0.98626,                0.99977,                0.99328,                 0.9277,                0.40804,                0.21034,                0.85752,                0.00406,                0.00406,                0.00406
                     62,                0.39579,                 0.2619,                0.88143,                0.98864,                      1,                0.99387,                0.94838,                0.36005,                0.19441,                0.84215,               0.003961,               0.003961,               0.003961
                     63,                0.39157,                0.25572,                0.88052,                0.98626,                0.99961,                0.99352,                0.94595,                0.36839,                0.19561,                0.84766,               0.003862,               0.003862,               0.003862
                     64,                  0.376,                0.25006,                0.87419,                0.98762,                0.99967,                0.99404,                0.95102,                0.35851,                 0.1918,                0.83488,               0.003763,               0.003763,               0.003763
                     65,                0.38209,                0.25415,                0.87536,                0.98762,                0.99993,                 0.9934,                0.94532,                0.36497,                 0.1889,                0.84247,               0.003664,               0.003664,               0.003664
                     66,                0.37873,                0.25106,                 0.8743,                0.98762,                0.99959,                 0.9935,                0.95023,                0.35279,                0.18666,                0.83605,               0.003565,               0.003565,               0.003565
                     67,                0.37971,                0.24822,                 0.8746,                0.99005,                      1,                0.99326,                0.94958,                0.35681,                0.18565,                0.83378,               0.003466,               0.003466,               0.003466
                     68,                0.37002,                0.23915,                0.86823,                0.98862,                      1,                0.99396,                0.94767,                0.35715,                0.18471,                0.83395,               0.003367,               0.003367,               0.003367
                     69,                0.36956,                0.24191,                  0.871,                0.99142,                0.99861,                0.99308,                0.95557,                0.34153,                0.17953,                0.83077,               0.003268,               0.003268,               0.003268
                     70,                0.37061,                 0.2397,                 0.8749,                0.99032,                0.99755,                0.99353,                0.95633,                 0.3376,                0.17716,                0.82814,               0.003169,               0.003169,               0.003169
                     71,                0.36374,                0.23595,                0.87512,                0.98881,                      1,                0.99343,                0.94911,                0.35203,                0.18212,                0.82967,                0.00307,                0.00307,                0.00307
                     72,                  0.365,                0.23642,                0.86855,                0.98897,                0.99869,                0.99386,                0.95094,                0.34561,                0.18026,                0.82826,               0.002971,               0.002971,               0.002971
                     73,                0.36248,                0.23608,                0.86578,                0.99158,                      1,                0.99379,                0.95549,                0.33669,                0.17259,                0.82969,               0.002872,               0.002872,               0.002872
                     74,                0.36555,                0.23816,                0.86618,                0.99438,                0.99861,                0.99376,                0.95946,                0.32925,                0.17098,                0.82609,               0.002773,               0.002773,               0.002773
                     75,                0.36534,                0.24328,                0.86787,                0.98761,                 0.9995,                0.99411,                0.95217,                0.33769,                0.17407,                0.82828,               0.002674,               0.002674,               0.002674
                     76,                0.35757,                0.22895,                0.86598,                0.98996,                      1,                0.99347,                0.95295,                 0.3316,                 0.1725,                0.82607,               0.002575,               0.002575,               0.002575
                     77,                0.35796,                 0.2259,                0.86295,                0.99253,                0.99861,                0.99384,                0.95777,                0.33382,                0.16916,                0.82737,               0.002476,               0.002476,               0.002476
                     78,                 0.3514,                0.22971,                 0.8632,                0.99124,                      1,                0.99393,                0.95512,                0.33633,                0.17115,                0.82753,               0.002377,               0.002377,               0.002377
                     79,                0.35329,                0.22576,                0.86609,                0.98954,                      1,                0.99422,                0.95677,                0.32618,                 0.1681,                0.82593,               0.002278,               0.002278,               0.002278
                     80,                0.34542,                0.22369,                0.86407,                0.99033,                0.99851,                0.99428,                0.95785,                0.33263,                0.16973,                0.82902,               0.002179,               0.002179,               0.002179
                     81,                0.33924,                0.21846,                0.85979,                0.99147,                      1,                0.99403,                0.95818,                0.32701,                0.16804,                0.82652,                0.00208,                0.00208,                0.00208
                     82,                 0.3354,                0.21988,                 0.8591,                0.99286,                0.99721,                0.99389,                0.95499,                0.32691,                0.16758,                0.82572,               0.001981,               0.001981,               0.001981
                     83,                0.34432,                0.22603,                0.86527,                0.99306,                0.99698,                0.99435,                0.95836,                0.32216,                0.16897,                0.82098,               0.001882,               0.001882,               0.001882
                     84,                0.33863,                0.21396,                0.86061,                0.99416,                0.99861,                0.99428,                0.95729,                0.32527,                0.16222,                0.82429,               0.001783,               0.001783,               0.001783
                     85,                0.33482,                0.21362,                0.85518,                0.98891,                      1,                 0.9945,                0.95571,                0.32929,                0.16119,                0.82367,               0.001684,               0.001684,               0.001684
                     86,                0.34356,                0.21794,                0.86006,                0.99229,                0.99721,                0.99365,                0.95419,                0.32085,                0.16012,                0.82139,               0.001585,               0.001585,               0.001585
                     87,                0.33368,                0.21546,                 0.8559,                0.99304,                 0.9938,                0.99429,                0.95743,                0.32026,                0.16211,                0.82019,               0.001486,               0.001486,               0.001486
                     88,                0.32652,                0.20927,                0.85661,                0.99169,                0.99703,                0.99396,                0.95841,                0.31927,                0.16213,                0.81927,               0.001387,               0.001387,               0.001387
                     89,                0.32499,                0.21218,                 0.8581,                0.99093,                      1,                0.99368,                0.95429,                0.33285,                0.16391,                0.82689,               0.001288,               0.001288,               0.001288
                     90,                0.32619,                0.20877,                0.86016,                0.98991,                      1,                0.99355,                 0.9556,                0.31754,                0.16221,                0.81682,               0.001189,               0.001189,               0.001189
                     91,                0.29555,                0.17486,                 0.8164,                 0.9874,                      1,                0.99336,                0.95973,                0.31275,                0.16199,                0.81546,                0.00109,                0.00109,                0.00109
                     92,                0.29251,                0.16713,                0.81539,                0.99582,                0.99646,                0.99397,                0.95975,                0.31657,                0.15814,                0.81852,               0.000991,               0.000991,               0.000991
                     93,                0.28599,                 0.1662,                0.81364,                0.99443,                0.99536,                0.99444,                0.96175,                0.31406,                0.15799,                0.82015,               0.000892,               0.000892,               0.000892
                     94,                0.27775,                0.16146,                0.81058,                0.99418,                0.99721,                0.99431,                0.96567,                0.30102,                 0.1536,                0.81362,               0.000793,               0.000793,               0.000793
                     95,                0.27698,                 0.1626,                0.81339,                0.99444,                0.99579,                0.99449,                0.96381,                0.31074,                0.15565,                0.81768,               0.000694,               0.000694,               0.000694
                     96,                0.27458,                0.15865,                0.81192,                0.99415,                0.99582,                0.99446,                0.96814,                0.30012,                0.15175,                 0.8157,               0.000595,               0.000595,               0.000595
                     97,                0.27548,                0.15739,                0.80909,                0.99408,                0.99721,                0.99455,                0.96913,                0.29808,                0.15069,                0.81463,               0.000496,               0.000496,               0.000496
                     98,                0.26858,                0.15294,                0.81068,                0.99277,                0.99721,                0.99452,                0.96666,                0.29858,                0.15225,                0.81519,               0.000397,               0.000397,               0.000397
                     99,                0.26878,                0.15408,                0.81043,                0.99466,                0.99721,                0.99467,                0.96633,                0.29265,                0.14915,                0.81222,               0.000298,               0.000298,               0.000298
                    100,                 0.2604,                 0.1493,                0.80996,                 0.9925,                      1,                0.99476,                0.96882,                0.29288,                 0.1459,                0.81137,               0.000199,               0.000199,               0.000199
